implementation,r,variant,metric,value,unit,evidence,detail
wrapper,2,torus_to_dft_rows,cycles,92639569,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"92639569,,cycles,16785404,37.00,,"
wrapper,2,torus_to_dft_rows,instructions,191463343,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"191463343,,instructions,21783058,48.00,2.07,insn per cycle"
wrapper,2,torus_to_dft_rows,cache-references,1217773,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"1217773,,cache-references,22787825,51.00,,"
wrapper,2,torus_to_dft_rows,cache-misses,65472,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"65472,,cache-misses,23782628,53.00,5.38,of all cache refs"
wrapper,2,torus_to_dft_rows,branches,14650567,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"14650567,,branches,24628758,55.00,,"
wrapper,2,torus_to_dft_rows,branch-misses,48197,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"48197,,branch-misses,23845312,53.00,0.33,of all branches"
wrapper,2,torus_to_dft_rows,mem_inst_retired.all_loads,29759914,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"29759914,,mem_inst_retired.all_loads,17837704,39.00,,"
wrapper,2,torus_to_dft_rows,mem_inst_retired.all_stores,23763296,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"23763296,,mem_inst_retired.all_stores,16845633,37.00,,"
wrapper,2,torus_to_dft_rows,fp_arith_inst_retired.512b_packed_double,27437866,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"27437866,,fp_arith_inst_retired.512b_packed_double,15999540,35.00,,"
wrapper,2,torus_to_dft_rows,fp_arith_inst_retired.256b_packed_double,5788113,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_torus_to_dft_rows.log,"5788113,,fp_arith_inst_retired.256b_packed_double,15997788,35.00,,"
wrapper,4,combined_current,cycles,238536023,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"238536023,,cycles,32039969,38.00,,"
wrapper,4,combined_current,instructions,391496202,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"391496202,,instructions,41040303,49.00,1.64,insn per cycle"
wrapper,4,combined_current,cache-references,5874147,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"5874147,,cache-references,42036964,50.00,,"
wrapper,4,combined_current,cache-misses,621879,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"621879,,cache-misses,43042205,51.00,10.59,of all cache refs"
wrapper,4,combined_current,branches,27121077,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"27121077,,branches,43742493,52.00,,"
wrapper,4,combined_current,branch-misses,87991,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"87991,,branch-misses,43690328,52.00,0.32,of all branches"
wrapper,4,combined_current,mem_inst_retired.all_loads,75077247,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"75077247,,mem_inst_retired.all_loads,33693824,40.00,,"
wrapper,4,combined_current,mem_inst_retired.all_stores,42960021,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"42960021,,mem_inst_retired.all_stores,32689151,39.00,,"
wrapper,4,combined_current,fp_arith_inst_retired.512b_packed_double,71675439,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"71675439,,fp_arith_inst_retired.512b_packed_double,31987955,38.00,,"
wrapper,4,combined_current,fp_arith_inst_retired.256b_packed_double,8814279,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_combined_current.log,"8814279,,fp_arith_inst_retired.256b_packed_double,31997003,38.00,,"
wrapper,4,torus_to_dft_rows,cycles,164785197,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"164785197,,cycles,24028309,38.00,,"
wrapper,4,torus_to_dft_rows,instructions,323590863,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"323590863,,instructions,31029033,49.00,1.96,insn per cycle"
wrapper,4,torus_to_dft_rows,cache-references,2331863,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"2331863,,cache-references,32021312,50.00,,"
wrapper,4,torus_to_dft_rows,cache-misses,177700,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"177700,,cache-misses,33025401,52.00,7.62,of all cache refs"
wrapper,4,torus_to_dft_rows,branches,23595298,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"23595298,,branches,33130571,52.00,,"
wrapper,4,torus_to_dft_rows,branch-misses,74219,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"74219,,branch-misses,33098595,52.00,0.31,of all branches"
wrapper,4,torus_to_dft_rows,mem_inst_retired.all_loads,43612272,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"43612272,,mem_inst_retired.all_loads,25103051,39.00,,"
wrapper,4,torus_to_dft_rows,mem_inst_retired.all_stores,35085698,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"35085698,,mem_inst_retired.all_stores,24102959,38.00,,"
wrapper,4,torus_to_dft_rows,fp_arith_inst_retired.512b_packed_double,39555889,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"39555889,,fp_arith_inst_retired.512b_packed_double,23996073,38.00,,"
wrapper,4,torus_to_dft_rows,fp_arith_inst_retired.256b_packed_double,8868672,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r4_torus_to_dft_rows.log,"8868672,,fp_arith_inst_retired.256b_packed_double,23998049,38.00,,"
