r,candidate,seed,public_rows,expected_dense_rows,zero_rows,duplicate_rows,row_count_mismatch,zero_row_distinguisher,equality_distinguisher,status,interpretation
2,dense_reference,0,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,8,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,9,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,row_deletion,0,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,1,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,2,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,3,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,4,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,5,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,6,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,7,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,8,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,row_deletion,9,16,25,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,0,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,1,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,2,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,3,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,4,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,5,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,6,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,7,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,8,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,deterministic_zero_dummy,9,25,25,9,8,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,0,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,1,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,2,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,3,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,4,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,5,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,6,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,7,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,8,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,forced_equal_dummy,9,25,25,0,9,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,0,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,1,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,2,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,3,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,4,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,5,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,6,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,7,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,8,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,count_matched_random_dummy,9,25,25,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,dense_reference,0,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,1,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,2,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,3,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,4,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,5,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,6,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,7,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,8,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,dense_reference,9,49,49,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
6,row_deletion,0,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,1,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,2,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,3,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,4,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,5,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,6,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,7,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,8,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,row_deletion,9,24,49,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,0,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,1,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,2,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,3,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,4,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,5,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,6,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,7,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,8,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,deterministic_zero_dummy,9,49,49,25,24,0,1,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,0,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,1,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,2,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,3,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,4,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,5,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,6,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,7,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,8,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,forced_equal_dummy,9,49,49,0,25,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,0,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,1,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,2,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,3,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,4,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,5,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,6,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,7,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,8,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
6,count_matched_random_dummy,9,49,49,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
