probe,r,seed,active_rows,dummy_rows,mismatches,expected,status,interpretation
negative_random_dummy_rows,4,17,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,17,15,10,8,>0,PASS,"Removing active row (0, 2) must change finite phase."
semantic_zero_dummy_skip,4,18,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,18,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,18,15,10,8,>0,PASS,"Removing active row (0, 3) must change finite phase."
semantic_zero_dummy_skip,4,19,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,19,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,19,15,10,8,>0,PASS,"Removing active row (0, 4) must change finite phase."
semantic_zero_dummy_skip,4,20,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,20,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,20,15,10,8,>0,PASS,"Removing active row (1, 0) must change finite phase."
semantic_zero_dummy_skip,4,21,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,21,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,21,15,10,8,>0,PASS,"Removing active row (1, 1) must change finite phase."
semantic_zero_dummy_skip,4,22,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,22,16,9,39,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,22,15,10,8,>0,PASS,"Removing active row (1, 2) must change finite phase."
semantic_zero_dummy_skip,4,23,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,23,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,23,15,10,8,>0,PASS,"Removing active row (2, 0) must change finite phase."
semantic_zero_dummy_skip,4,24,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,24,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,24,15,10,8,>0,PASS,"Removing active row (2, 2) must change finite phase."
semantic_zero_dummy_skip,4,25,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,25,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,25,15,10,8,>0,PASS,"Removing active row (2, 3) must change finite phase."
semantic_zero_dummy_skip,4,26,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,26,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,26,15,10,8,>0,PASS,"Removing active row (3, 0) must change finite phase."
semantic_zero_dummy_skip,4,27,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,27,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,27,15,10,8,>0,PASS,"Removing active row (3, 3) must change finite phase."
semantic_zero_dummy_skip,4,28,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,28,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,28,15,10,8,>0,PASS,"Removing active row (3, 4) must change finite phase."
semantic_zero_dummy_skip,4,29,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,29,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,29,15,10,8,>0,PASS,"Removing active row (4, 0) must change finite phase."
semantic_zero_dummy_skip,4,30,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,30,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,30,15,10,8,>0,PASS,"Removing active row (4, 1) must change finite phase."
semantic_zero_dummy_skip,4,31,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,31,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,31,15,10,8,>0,PASS,"Removing active row (4, 4) must change finite phase."
semantic_zero_dummy_skip,6,0,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,0,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,0,23,26,8,>0,PASS,"Removing active row (0, 1) must change finite phase."
semantic_zero_dummy_skip,6,1,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,1,24,25,55,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,1,23,26,8,>0,PASS,"Removing active row (0, 2) must change finite phase."
semantic_zero_dummy_skip,6,2,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,2,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,2,23,26,8,>0,PASS,"Removing active row (0, 3) must change finite phase."
semantic_zero_dummy_skip,6,3,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,3,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,3,23,26,8,>0,PASS,"Removing active row (0, 4) must change finite phase."
semantic_zero_dummy_skip,6,4,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,4,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,4,23,26,8,>0,PASS,"Removing active row (0, 5) must change finite phase."
semantic_zero_dummy_skip,6,5,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,5,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,5,23,26,8,>0,PASS,"Removing active row (0, 6) must change finite phase."
semantic_zero_dummy_skip,6,6,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,6,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,6,23,26,8,>0,PASS,"Removing active row (1, 0) must change finite phase."
semantic_zero_dummy_skip,6,7,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,7,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,7,23,26,8,>0,PASS,"Removing active row (1, 1) must change finite phase."
semantic_zero_dummy_skip,6,8,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,8,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,8,23,26,8,>0,PASS,"Removing active row (1, 2) must change finite phase."
semantic_zero_dummy_skip,6,9,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,9,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,9,23,26,8,>0,PASS,"Removing active row (2, 0) must change finite phase."
semantic_zero_dummy_skip,6,10,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,10,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,10,23,26,8,>0,PASS,"Removing active row (2, 2) must change finite phase."
semantic_zero_dummy_skip,6,11,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,11,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,11,23,26,8,>0,PASS,"Removing active row (2, 3) must change finite phase."
semantic_zero_dummy_skip,6,12,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,12,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,12,23,26,8,>0,PASS,"Removing active row (3, 0) must change finite phase."
semantic_zero_dummy_skip,6,13,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,13,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,13,23,26,8,>0,PASS,"Removing active row (3, 3) must change finite phase."
semantic_zero_dummy_skip,6,14,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,14,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,14,23,26,8,>0,PASS,"Removing active row (3, 4) must change finite phase."
semantic_zero_dummy_skip,6,15,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,15,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,15,23,26,8,>0,PASS,"Removing active row (4, 0) must change finite phase."
semantic_zero_dummy_skip,6,16,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,16,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,16,23,26,8,>0,PASS,"Removing active row (4, 4) must change finite phase."
semantic_zero_dummy_skip,6,17,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,17,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,17,23,26,8,>0,PASS,"Removing active row (4, 5) must change finite phase."
semantic_zero_dummy_skip,6,18,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,18,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,18,23,26,8,>0,PASS,"Removing active row (5, 0) must change finite phase."
semantic_zero_dummy_skip,6,19,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,19,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,19,23,26,8,>0,PASS,"Removing active row (5, 5) must change finite phase."
semantic_zero_dummy_skip,6,20,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,20,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,20,23,26,8,>0,PASS,"Removing active row (5, 6) must change finite phase."
semantic_zero_dummy_skip,6,21,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,21,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,21,23,26,8,>0,PASS,"Removing active row (6, 0) must change finite phase."
semantic_zero_dummy_skip,6,22,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,22,24,25,55,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,22,23,26,8,>0,PASS,"Removing active row (6, 1) must change finite phase."
semantic_zero_dummy_skip,6,23,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,23,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,23,23,26,8,>0,PASS,"Removing active row (6, 6) must change finite phase."
semantic_zero_dummy_skip,6,24,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,24,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,24,23,26,8,>0,PASS,"Removing active row (0, 1) must change finite phase."
semantic_zero_dummy_skip,6,25,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,25,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,25,23,26,8,>0,PASS,"Removing active row (0, 2) must change finite phase."
semantic_zero_dummy_skip,6,26,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,26,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,26,23,26,8,>0,PASS,"Removing active row (0, 3) must change finite phase."
semantic_zero_dummy_skip,6,27,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,27,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,27,23,26,8,>0,PASS,"Removing active row (0, 4) must change finite phase."
semantic_zero_dummy_skip,6,28,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,28,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,28,23,26,8,>0,PASS,"Removing active row (0, 5) must change finite phase."
semantic_zero_dummy_skip,6,29,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,29,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,29,23,26,8,>0,PASS,"Removing active row (0, 6) must change finite phase."
semantic_zero_dummy_skip,6,30,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,30,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,30,23,26,8,>0,PASS,"Removing active row (1, 0) must change finite phase."
semantic_zero_dummy_skip,6,31,24,25,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,6,31,24,25,56,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,6,31,23,26,8,>0,PASS,"Removing active row (1, 1) must change finite phase."
