check,status,evidence,detail
stage57_scope_label_audit,PASS,repro/stage57_scope_label_audit.csv,Stage57 confirms current scope labels match the latest Stage19+ closure range
stage58_final_recheck_stage57,PASS,repro/stage58_final_recheck_stage57/summary.csv,Stage58 final recheck refreshes Stage57 before Stage42 closure
stage59_completion_route,PASS,repro/stage59_completion_route_readiness.csv,Stage59 completion route separates local refresh lanes from external blocker lanes
stage60_final_recheck_stage59,PASS,repro/stage60_final_recheck_stage59/summary.csv,Stage60 final recheck refreshes Stage59 before Stage42 closure
stage61_native_perf_unlock_probe,PASS,repro/stage61_native_perf_unlock_probe/summary.csv,Stage61 native perf unlock probe is recorded; current platform remains blocked
stage62_fulltext_unlock_probe,PASS,repro/stage62_fulltext_unlock_probe/unlock_summary.csv,Stage62 full-text unlock probe is recorded; current environment still needs a full-text artifact
stage64a_post_variant_refresh,PASS,repro/stage64_post_variant_refresh/summary.csv,"Stage64A post-variant refresh passes for current smoke, repeated full-SAB, noise, and Stage50"
stage65a_r4_unrolled_variant,PASS,repro/stage65_r4_unrolled_avx512/summary.csv,Stage65A r4 row-unrolled AVX512 variant is recorded as negative/not promoted
stage66a_post_variant_final_recheck,PASS,repro/stage66_post_variant_final_recheck/summary.csv,Stage66A post-variant final-recheck control plane passes and closure audit records it
stage67_final_recheck_stage66,PASS,repro/stage67_final_recheck_stage66/summary.csv; repro/stage67_final_recheck_stage66/decision.csv,Stage67 final recheck runs Stage66A and closure audit records the post-summary Stage42 rebuild
stage68_frontier_closure_consistency,PASS,repro/stage68_frontier_closure_consistency.csv,"Stage68 confirms Stage42, Stage51 G6, Stage57, and Stage59 labels are consistent"
stage69_local_variant_feasibility,PASS,repro/stage69_local_variant_feasibility.csv,Stage69 records no unblocked local variant and rejects the direct H3 sparse-selector shortcut
stage70_external_unlock_preflight,PASS,repro/stage70_external_unlock_preflight.csv,"Stage70 records native-perf, full-text, novelty, and local-variant unlock prerequisites"
stage71_final_recheck_stage70,PASS,repro/stage71_final_recheck_stage70/summary.csv; repro/stage71_final_recheck_stage70/decision.csv,Stage71 final recheck refreshes Stage70 before Stage42 closure
stage72_external_source_refresh,PASS,repro/stage72_external_source_refresh/summary.csv,Stage72 refreshes author/DOI/code routes and preserves full-text blockers
stage73_final_recheck_stage72,PASS,repro/stage73_final_recheck_stage72/summary.csv; repro/stage73_final_recheck_stage72/decision.csv,Stage73 final recheck refreshes Stage72 before blocker/frontier/closure rebuilds
stage74_r_scaling_boundary,PASS,repro/stage74_r_scaling_boundary/decision.csv,Stage74 records r=6/r=8 smoke and rejects direct r>4 promotion under current evidence
stage75_rgt4_profile_boundary,PASS,repro/stage75_rgt4_profile_boundary/decision.csv,Stage75 records profile-backed r=6/r=8 boundary attribution under invariant SAB counts
stage76_rgt4_kernel_feasibility,PASS,repro/stage76_rgt4_kernel_feasibility/summary.csv,Stage76 records correct r=6/r=8 generic MAT kernel behavior but rejects direct r>4 kernel promotion
stage77_rgt4_fused_mat_kernel,PASS,repro/stage77_rgt4_fused_mat_kernel/summary.csv,Stage77 records H11 fused r>4 MAT as positive smoke and requires repeated gates before promotion
stage78_rgt4_fused_repeated_gates,PASS,repro/stage78_rgt4_fused_repeated_gates/summary.csv,Stage78 records H11 r=6 fused r>4 MAT as a promotion candidate and keeps Stage79 high-stat confirmation required
stage79_rgt4_fused_high_stat,PASS,repro/stage79_rgt4_fused_high_stat/summary.csv,"Stage79 records H11 r=6 fused r>4 MAT high-stat evidence as review-required, not automatically promoted"
stage80_promotion_policy_audit,PASS,repro/stage80_promotion_policy_audit/summary.csv,Stage80 keeps H11 r=6 fused MAT as explicit experimental evidence only and does not promote or default it
stage81_next_variant_triage,PASS,repro/stage81_next_variant_triage.csv,Stage81 selects post-H11 fused r=6 profile attribution and does not promote new hot-path code
stage82_post_h11_profile,PASS,repro/stage82_post_h11_profile/decision.csv,Stage82 profiles explicit H11 fused r=6 and records MAT body as the primary profile target
stage83_mat_body_design_check,PASS,repro/stage83_mat_body_design_check/decision.csv,Stage83 selects H13 r=6 full-output tile-sweep preflight and keeps sparse selector skipping blocked
stage84_h13_r6_tile_sweep_preflight,PASS,repro/stage84_h13_r6_tile_sweep_preflight/summary.csv,Stage84 records H13 r=6 tile-sweep as kernel-positive but complete-SAB neutral/negative and not promoted
stage86_secondary_cmux_materialization,PASS,repro/stage86_secondary_cmux_materialization/decision.csv,Stage86 selects H14 backend FromDFT+add materialization preflight without promoting code
stage87_h14_backend_from_dft_add_preflight,PASS,repro/stage87_h14_backend_from_dft_add_preflight/summary.csv,Stage87 records H14 backend FromDFT-add as a one-run promotion candidate without promoting code
stage88_h14_backend_repeated_gates,PASS,repro/stage88_h14_backend_repeated_gates/summary.csv,Stage88 records H14 backend FromDFT-add as a repeated/noise/resource promotion candidate without promoting defaults
stage89_h14_promotion_policy,PASS,repro/stage89_h14_promotion_policy_integration/summary.csv,Stage89 promotes H14 backend FromDFT-add as the preferred explicit r=6 path while defaults remain unchanged
stage90_external_claim_unlock,PASS,repro/stage90_external_claim_unlock/summary.csv,Stage90 records the external-claim probe and preserves native-perf/full-text/novelty blockers
stage91_final_package,PASS,repro/stage91_final_package/summary.csv,Stage91 freezes the scoped SAB optimization package while preserving stronger-claim blockers
stage92_external_unlock_execution,PASS,repro/stage92_external_unlock_execution/summary.csv,Stage92 records executable external unlock lanes while preserving stronger-claim blockers
stage93_external_lane_attempt,PASS,repro/stage93_external_lane_attempt/summary.csv,Stage93 records current external lane attempts while preserving stronger-claim blockers
stage94_local_frontier_audit,PASS,repro/stage94_local_frontier_audit/summary.csv,Stage94 records no justified new local hot-path candidate under current evidence
stage95_public_source_reprobe,PASS,repro/stage95_public_source_reprobe/summary.csv,Stage95 refreshes public source routes while preserving full-text/claim blockers
stage96_upstream_delta_audit,PASS,repro/stage96_upstream_delta_audit/summary.csv,Stage96 records upstream/local provenance and default-false flag guards
stage97_source_delta_guard,PASS,repro/stage97_source_delta_guard/summary.csv,"Stage97 records source-delta isolation, default-false flags, and scalar/default smoke guards"
stage98_current_smoke_refresh,PASS,repro/stage98_current_smoke_refresh/summary.csv,"Stage98 current-head smoke refresh passes scalar/default, active PVW target, backend PVW target, and scalar ternary checks"
stage99_external_blocker_reprobe,PASS,repro/stage99_external_blocker_reprobe/summary.csv,Stage99 records post-Stage98 external blocker reprobe and full-text review-required state
stage100_fulltext_anchor_prefill,PASS,repro/stage100_fulltext_anchor_prefill/summary.csv,Stage100 records candidate-only 2025/686 source anchors while preserving manual review requirements
stage44_recheck_integration,PASS,repro/final_goal_recheck_stage44_reprobe/summary.csv,"final recheck can refresh Stage44, final audit, and Stage42 closure"
default_recheck_closure,PASS,repro/final_goal_recheck/summary.csv,default final recheck includes stage42_evidence_closure=PASS
closure_only_recheck,PASS,repro/final_goal_recheck_stage42_closure/summary.csv,closure-only final recheck includes stage42_evidence_closure=PASS
stage42_run_log_rows,PASS,repro/run_log.csv,all Stage42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62 plus Stage64A/Stage65A/Stage66A/Stage67/Stage68/Stage69/Stage70/Stage71/Stage72/Stage73/Stage74/Stage75/Stage76/Stage77/Stage78/Stage79/Stage80/Stage81/Stage82/Stage83/Stage84/Stage86/Stage87/Stage88/Stage89/Stage90/Stage91/Stage92/Stage93/Stage94/Stage95/Stage96/Stage97/Stage98/Stage99/Stage100 closure run rows are present
artifact_manifest_mentions,PASS,repro/artifact_manifest.md,"Stage42 verifier, closure manifest, Stage44 re-probe, Stage45 refactor, Stage46 target smoke, Stage47 full-SAB smoke, Stage48 noise smoke, Stage49 repeated full-SAB stability, Stage50 performance matrix, Stage51 goal frontier, Stage52 external unlock readiness, Stage53 final recheck integration, Stage54 default final recheck, Stage55 paper probe, Stage56 final recheck integration, Stage57 scope-label audit, Stage58 final recheck integration, Stage59 completion route, Stage60 final recheck integration, Stage61 native perf unlock probe, Stage62 full-text unlock probe, Stage64A post-variant refresh, Stage65A r4 unrolled variant, Stage66A post-variant final recheck, Stage67 final-recheck Stage66A integration, Stage68 frontier/closure consistency, Stage69 local variant feasibility, Stage70 external unlock preflight, Stage71 final-recheck Stage70 integration, Stage72 external source refresh, Stage73 final-recheck Stage72 integration, Stage74 r-scaling boundary, Stage75 r>4 profile boundary, Stage76 r>4 kernel feasibility, Stage77 r>4 fused MAT smoke, Stage78 r>4 fused repeated gates, Stage79 r>4 fused high-stat review gate, Stage80 promotion policy audit, Stage81 next-variant triage, Stage82 post-H11 profile, Stage83 MAT body design check, Stage84 H13 r=6 tile-sweep preflight, Stage86 secondary CMUX materialization design gate, Stage87 H14 backend FromDFT-add preflight, Stage88 H14 backend repeated gates, Stage89 H14 promotion policy integration, Stage90 external claim unlock, Stage91 final scoped package, Stage92 external unlock packet, Stage93 external lane attempt, Stage94 local frontier audit, Stage95 public source reprobe, Stage96 upstream delta audit, Stage97 source delta guard, Stage98 current-head smoke refresh, Stage99 external blocker reprobe, and Stage100 full-text anchor prefill are registered"
stage42_verify_decision,FAIL_STAGE42_VERIFY,repro/stage42_closure_verify/summary.csv,Inspect failing checks before relying on Stage42 closure evidence.
