seed,N,modulus,a,case,control,observed_head,expected_head,match,status,interpretation
3,16,257,14,binary_matches_scalar,positive,53 64 77 92,53 64 77 92,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
3,16,257,14,include_zero_c0_matches_identity,positive,37 44 53 64,37 44 53 64,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
3,16,257,14,include_zero_c1_matches_binary,positive,53 64 77 92,53 64 77 92,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
3,16,257,14,ternary_positive_matches_binary,positive,53 64 77 92,53 64 77 92,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
3,16,257,14,ternary_negative_requires_inverse_rotation,positive,60 95 37 44,60 95 37 44,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
3,16,257,14,pvw_binary_naive_fails_ternary_negative,negative_control,53 64 77 92,60 95 37 44,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
4,16,257,1,binary_matches_scalar,positive,115 42 50 60,115 42 50 60,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
4,16,257,1,include_zero_c0_matches_identity,positive,42 50 60 72,42 50 60 72,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
4,16,257,1,include_zero_c1_matches_binary,positive,115 42 50 60,115 42 50 60,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
4,16,257,1,ternary_positive_matches_binary,positive,115 42 50 60,115 42 50 60,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
4,16,257,1,ternary_negative_requires_inverse_rotation,positive,50 60 72 86,50 60 72 86,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
4,16,257,1,pvw_binary_naive_fails_ternary_negative,negative_control,115 42 50 60,50 60 72 86,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
5,16,257,4,binary_matches_scalar,positive,30 63 98 135,30 63 98 135,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
5,16,257,4,include_zero_c0_matches_identity,positive,47 56 67 80,47 56 67 80,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
5,16,257,4,include_zero_c1_matches_binary,positive,30 63 98 135,30 63 98 135,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
5,16,257,4,ternary_positive_matches_binary,positive,30 63 98 135,30 63 98 135,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
5,16,257,4,ternary_negative_requires_inverse_rotation,positive,95 112 131 152,95 112 131 152,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
5,16,257,4,pvw_binary_naive_fails_ternary_negative,negative_control,30 63 98 135,95 112 131 152,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
6,16,257,7,binary_matches_scalar,positive,214 242 15 47,214 242 15 47,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
6,16,257,7,include_zero_c0_matches_identity,positive,52 62 74 88,52 62 74 88,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
6,16,257,7,include_zero_c1_matches_binary,positive,214 242 15 47,214 242 15 47,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
6,16,257,7,ternary_positive_matches_binary,positive,214 242 15 47,214 242 15 47,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
6,16,257,7,ternary_negative_requires_inverse_rotation,positive,164 188 214 242,164 188 214 242,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
6,16,257,7,pvw_binary_naive_fails_ternary_negative,negative_control,214 242 15 47,164 188 214 242,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
7,16,257,10,binary_matches_scalar,positive,153 176 201 228,153 176 201 228,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
7,16,257,10,include_zero_c0_matches_identity,positive,57 68 81 96,57 68 81 96,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
7,16,257,10,include_zero_c1_matches_binary,positive,153 176 201 228,153 176 201 228,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
7,16,257,10,ternary_positive_matches_binary,positive,153 176 201 228,153 176 201 228,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
7,16,257,10,ternary_negative_requires_inverse_rotation,positive,0 31 64 99,0 31 64 99,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
7,16,257,10,pvw_binary_naive_fails_ternary_negative,negative_control,153 176 201 228,0 31 64 99,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
8,16,257,13,binary_matches_scalar,positive,104 122 142 164,104 122 142 164,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
8,16,257,13,include_zero_c0_matches_identity,positive,62 74 88 104,62 74 88 104,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
8,16,257,13,include_zero_c1_matches_binary,positive,104 122 142 164,104 122 142 164,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
8,16,257,13,ternary_positive_matches_binary,positive,104 122 142 164,104 122 142 164,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
8,16,257,13,ternary_negative_requires_inverse_rotation,positive,117 155 195 62,117 155 195 62,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
8,16,257,13,pvw_binary_naive_fails_ternary_negative,negative_control,104 122 142 164,117 155 195 62,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
9,16,257,1,binary_matches_scalar,positive,215 67 80 95,215 67 80 95,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
9,16,257,1,include_zero_c0_matches_identity,positive,67 80 95 112,67 80 95 112,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
9,16,257,1,include_zero_c1_matches_binary,positive,215 67 80 95,215 67 80 95,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
9,16,257,1,ternary_positive_matches_binary,positive,215 67 80 95,215 67 80 95,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
9,16,257,1,ternary_negative_requires_inverse_rotation,positive,80 95 112 131,80 95 112 131,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
9,16,257,1,pvw_binary_naive_fails_ternary_negative,negative_control,215 67 80 95,80 95 112 131,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
10,16,257,3,binary_matches_scalar,positive,153 193 235 72,153 193 235 72,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
10,16,257,3,include_zero_c0_matches_identity,positive,72 86 102 120,72 86 102 120,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
10,16,257,3,include_zero_c1_matches_binary,positive,153 193 235 72,153 193 235 72,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
10,16,257,3,ternary_positive_matches_binary,positive,153 193 235 72,153 193 235 72,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
10,16,257,3,ternary_negative_requires_inverse_rotation,positive,120 140 162 186,120 140 162 186,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
10,16,257,3,pvw_binary_naive_fails_ternary_negative,negative_control,153 193 235 72,120 140 162 186,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
11,16,257,6,binary_matches_scalar,positive,60 95 132 171,60 95 132 171,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
11,16,257,6,include_zero_c0_matches_identity,positive,77 92 109 128,77 92 109 128,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
11,16,257,6,include_zero_c1_matches_binary,positive,60 95 132 171,60 95 132 171,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
11,16,257,6,ternary_positive_matches_binary,positive,60 95 132 171,60 95 132 171,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
11,16,257,6,ternary_negative_requires_inverse_rotation,positive,197 224 253 27,197 224 253 27,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
11,16,257,6,pvw_binary_naive_fails_ternary_negative,negative_control,60 95 132 171,197 224 253 27,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
12,16,257,9,binary_matches_scalar,positive,236 9 41 75,236 9 41 75,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
12,16,257,9,include_zero_c0_matches_identity,positive,82 98 116 136,82 98 116 136,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
12,16,257,9,include_zero_c1_matches_binary,positive,236 9 41 75,236 9 41 75,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
12,16,257,9,ternary_positive_matches_binary,positive,236 9 41 75,236 9 41 75,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
12,16,257,9,ternary_negative_requires_inverse_rotation,positive,41 75 111 149,41 75 111 149,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
12,16,257,9,pvw_binary_naive_fails_ternary_negative,negative_control,236 9 41 75,41 75 111 149,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
13,16,257,12,binary_matches_scalar,positive,167 192 219 248,167 192 219 248,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
13,16,257,12,include_zero_c0_matches_identity,positive,87 104 123 144,87 104 123 144,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
13,16,257,12,include_zero_c1_matches_binary,positive,167 192 219 248,167 192 219 248,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
13,16,257,12,ternary_positive_matches_binary,positive,167 192 219 248,167 192 219 248,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
13,16,257,12,ternary_negative_requires_inverse_rotation,positive,166 207 250 38,166 207 250 38,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
13,16,257,12,pvw_binary_naive_fails_ternary_negative,negative_control,167 192 219 248,166 207 250 38,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
14,16,257,15,binary_matches_scalar,positive,110 130 152 176,110 130 152 176,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
14,16,257,15,include_zero_c0_matches_identity,positive,92 110 130 152,92 110 130 152,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
14,16,257,15,include_zero_c1_matches_binary,positive,110 130 152 176,110 130 152 176,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
14,16,257,15,ternary_positive_matches_binary,positive,110 130 152 176,110 130 152 176,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
14,16,257,15,ternary_negative_requires_inverse_rotation,positive,58 92 110 130,58 92 110 130,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
14,16,257,15,pvw_binary_naive_fails_ternary_negative,negative_control,110 130 152 176,58 92 110 130,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
15,16,257,2,binary_matches_scalar,positive,31 78 97 116,31 78 97 116,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
15,16,257,2,include_zero_c0_matches_identity,positive,97 116 137 160,97 116 137 160,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
15,16,257,2,include_zero_c1_matches_binary,positive,31 78 97 116,31 78 97 116,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
15,16,257,2,ternary_positive_matches_binary,positive,31 78 97 116,31 78 97 116,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
15,16,257,2,ternary_negative_requires_inverse_rotation,positive,137 160 185 212,137 160 185 212,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
15,16,257,2,pvw_binary_naive_fails_ternary_negative,negative_control,31 78 97 116,137 160 185 212,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
