probe,r,N,q,seed,omitted_component,mismatches,status,interpretation
omit_input_component,4,8,257,1,4,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,2,0,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,2,1,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,2,2,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,2,3,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,2,4,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,3,0,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,3,1,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,3,2,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,3,3,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,3,4,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,4,0,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,4,1,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,4,2,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,4,3,39,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,4,4,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,0,0,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,0,1,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,0,2,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,0,3,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,0,4,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,0,5,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,0,6,55,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,1,0,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,1,1,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,1,2,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,1,3,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,1,4,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,1,5,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,1,6,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,2,0,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,2,1,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,2,2,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,2,3,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,2,4,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,2,5,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,2,6,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,3,0,54,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,3,1,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,3,2,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,3,3,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,3,4,55,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,3,5,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,3,6,55,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,4,0,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,4,1,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,4,2,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,4,3,55,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,4,4,54,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,4,5,55,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,6,8,257,4,6,56,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
gadget_decompose_non_additivity,n/a,n/a,256,0,n/a,1,PASS_COUNTEREXAMPLE,"Toy decomposition is not additive under carries, supporting the same-format lazy-state caution."
gadget_decompose_non_additivity,n/a,n/a,256,1,n/a,1,PASS_COUNTEREXAMPLE,"Toy decomposition is not additive under carries, supporting the same-format lazy-state caution."
gadget_decompose_non_additivity,n/a,n/a,256,2,n/a,2,PASS_COUNTEREXAMPLE,"Toy decomposition is not additive under carries, supporting the same-format lazy-state caution."
gadget_decompose_non_additivity,n/a,n/a,256,3,n/a,1,PASS_COUNTEREXAMPLE,"Toy decomposition is not additive under carries, supporting the same-format lazy-state caution."
gadget_decompose_non_additivity,n/a,n/a,256,4,n/a,3,PASS_COUNTEREXAMPLE,"Toy decomposition is not additive under carries, supporting the same-format lazy-state caution."
