case,seed,field_prime,r,state_size,offlane_body_terms,mismatches,status,expectation
random_dense_negative,6,257,2,3,225;170,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,6,257,2,3,256;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,7,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,7,257,2,3,13;77,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,7,257,2,3,228;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,8,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,8,257,2,3,172;227,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,8,257,2,3,220;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,9,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,9,257,2,3,243;119,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,9,257,2,3,103;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,10,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,10,257,2,3,222;164,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,10,257,2,3,214;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,11,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,11,257,2,3,229;177,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,11,257,2,3,249;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,12,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,12,257,2,3,230;159,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,12,257,2,3,112;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,13,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,13,257,2,3,185;40,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,13,257,2,3,59;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,14,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,14,257,2,3,14;236,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,14,257,2,3,36;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,15,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,15,257,2,3,20;175,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,15,257,2,3,139;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
