source,metric,value,unit,evidence,detail
standard_run,pvw_avg_us,36256764.000,us,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36256764.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9064191.000 scalar_repeated_avg_us=47476987.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11869246.750 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
standard_run,scalar_repeated_avg_us,47476987.000,us,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36256764.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9064191.000 scalar_repeated_avg_us=47476987.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11869246.750 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
standard_run,speedup_vs_scalar_repeated,1.309,x,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36256764.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9064191.000 scalar_repeated_avg_us=47476987.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11869246.750 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
attribution_perf,cycles,607952411223,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"607,952,411,223      cycles                                                                  (44.44%)"
attribution_perf,instructions,1101054109000,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"1,101,054,109,000      instructions                     #    1.81  insn per cycle              (55.55%)"
attribution_perf,cache-references,18952022397,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"18,952,022,397      cache-references                                                        (55.56%)"
attribution_perf,cache-misses,9012327260,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"9,012,327,260      cache-misses                     #   47.55% of all cache refs           (55.55%)"
attribution_perf,mem_inst_retired.all_loads,254877142145,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"254,877,142,145      mem_inst_retired.all_loads                                              (55.56%)"
attribution_perf,mem_inst_retired.all_stores,139977326972,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"139,977,326,972      mem_inst_retired.all_stores                                             (55.56%)"
attribution_perf,fp_arith_inst_retired.512b_packed_double,236434492449,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"236,434,492,449      fp_arith_inst_retired.512b_packed_double                                        (44.44%)"
attribution_perf,fp_arith_inst_retired.256b_packed_double,46465202085,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"46,465,202,085      fp_arith_inst_retired.256b_packed_double                                        (44.45%)"
attribution_perf,fp_arith_inst_retired.scalar_double,5456174438,count,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,"5,456,174,438      fp_arith_inst_retired.scalar_double                                        (44.44%)"
attribution_perf,elapsed_seconds,171.355286150,seconds,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,171.355286150 seconds time elapsed
attribution_perf,user_seconds,170.125732000,seconds,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,170.125732000 seconds user
attribution_perf,sys_seconds,1.193159000,seconds,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_perf.log,1.193159000 seconds sys
attribution_run,target_full_correctness,PASS,gate,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_run.log,target_full correctness Pass line found
attribution_run,r,4,value,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36023325.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9005831.250 scalar_repeated_avg_us=47171789.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11792947.250 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
attribution_run,reps,1,value,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36023325.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9005831.250 scalar_repeated_avg_us=47171789.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11792947.250 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
attribution_run,pvw_avg_us,36023325.000,us,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36023325.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9005831.250 scalar_repeated_avg_us=47171789.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11792947.250 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
attribution_run,scalar_repeated_avg_us,47171789.000,us,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36023325.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9005831.250 scalar_repeated_avg_us=47171789.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11792947.250 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
attribution_run,speedup_vs_scalar_repeated,1.309,x,repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36023325.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9005831.250 scalar_repeated_avg_us=47171789.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11792947.250 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
