variant,metric,value,unit,evidence,detail
torus_to_dft_rows,sys_seconds,0.037120000,seconds,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,0.037120000 seconds sys
addmul_from_dec_dft,cycles,259305434,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"259,305,434      cycles                                                                  (40.30%)"
addmul_from_dec_dft,instructions,346174690,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"346,174,690      instructions                     #    1.34  insn per cycle              (50.25%)"
addmul_from_dec_dft,cache-references,7346428,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"7,346,428      cache-references                                                        (50.24%)"
addmul_from_dec_dft,cache-misses,349767,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"349,767      cache-misses                     #    4.76% of all cache refs           (50.25%)"
addmul_from_dec_dft,branches,37810623,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"37,810,623      branches                                                                (50.25%)"
addmul_from_dec_dft,branch-misses,54743,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"54,743      branch-misses                    #    0.14% of all branches             (49.75%)"
addmul_from_dec_dft,mem_inst_retired.all_loads,64970716,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"64,970,716      mem_inst_retired.all_loads                                              (39.80%)"
addmul_from_dec_dft,mem_inst_retired.all_stores,32210397,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"32,210,397      mem_inst_retired.all_stores                                             (39.80%)"
addmul_from_dec_dft,fp_arith_inst_retired.512b_packed_double,70084809,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"70,084,809      fp_arith_inst_retired.512b_packed_double                                        (39.80%)"
addmul_from_dec_dft,fp_arith_inst_retired.256b_packed_double,1432997,count,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,"1,432,997      fp_arith_inst_retired.256b_packed_double                                        (39.80%)"
addmul_from_dec_dft,elapsed_seconds,0.093732646,seconds,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,0.093732646 seconds time elapsed
addmul_from_dec_dft,user_seconds,0.053445000,seconds,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,0.053445000 seconds user
addmul_from_dec_dft,sys_seconds,0.040336000,seconds,repro/stage180_mat_ep_split_probe/run_addmul_from_dec_dft_perf.log,0.040336000 seconds sys
combined_current,cycles,442864061,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"442,864,061      cycles                                                                  (39.73%)"
combined_current,instructions,626852405,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"626,852,405      instructions                     #    1.42  insn per cycle              (49.77%)"
combined_current,cache-references,22650107,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"22,650,107      cache-references                                                        (49.77%)"
combined_current,cache-misses,2212877,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"2,212,877      cache-misses                     #    9.77% of all cache refs           (49.75%)"
combined_current,branches,56886655,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"56,886,655      branches                                                                (49.76%)"
combined_current,branch-misses,115887,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"115,887      branch-misses                    #    0.20% of all branches             (50.22%)"
combined_current,mem_inst_retired.all_loads,122597685,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"122,597,685      mem_inst_retired.all_loads                                              (40.19%)"
combined_current,mem_inst_retired.all_stores,68334326,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"68,334,326      mem_inst_retired.all_stores                                             (40.19%)"
combined_current,fp_arith_inst_retired.512b_packed_double,124139385,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"124,139,385      fp_arith_inst_retired.512b_packed_double                                        (40.20%)"
combined_current,fp_arith_inst_retired.256b_packed_double,12826555,count,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,"12,826,555      fp_arith_inst_retired.256b_packed_double                                        (40.19%)"
combined_current,elapsed_seconds,0.142492977,seconds,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,0.142492977 seconds time elapsed
combined_current,user_seconds,0.114385000,seconds,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,0.114385000 seconds user
combined_current,sys_seconds,0.028094000,seconds,repro/stage180_mat_ep_split_probe/run_combined_current_perf.log,0.028094000 seconds sys
